Gas Station Name,Address
7-Eleven,"1349 Alpine Ave NW, Grand Rapids, MI"
Meijer,"1999 E Beltline Ave NE, Grand Rapids, MI"
Circle K,"514 Michigan St NE, Grand Rapids, MI"
7-Eleven,"1001 W Fulton St, Grand Rapids, MI"
Meijer,"5500 Clyde Park SW, Wyoming, MI"
Meijer,"3757 Plainfield Ave NE, Grand Rapids, MI"
Mobil Mart,"248 Cherry St SW, Grand Rapids, MI"
Consolidated Stations,"1212 Michigan St NE, Grand Rapids, MI"
7-Eleven,"876 Fuller Ave NE, Grand Rapids, MI"
Speedway,"2754 Alpine Ave NW, Grand Rapids, MI"
7-Eleven,"1253 Burton St SW, Wyoming, MI"
Consolidated Stations,"501 68th St SW, Grand Rapids, MI"
Circle K,"1530 44th St SW, Wyoming, MI"
7-Eleven,"4429 Breton Rd SE, Kentwood, MI"
Speedway,"4045 28th St SE, Grand Rapids, MI"
Speedway,"815 52nd St SE, Kentwood, MI"
7-Eleven,"888 Forest Hill Ave SE, Grand Rapids, MI"
Speedway,"5173 Broadmoor Ave SE, Kentwood, MI"
Crystal Flash Energy,"1760 Alpine Ave NW, Grand Rapids, MI"
Amoco,"438 Stocking Ave NW, Grand Rapids, MI"
Next Door Food Store,"14226 Ironwood Dr NW, Grand Rapids, MI"
Pacific Pride,"O-305 Lake Michigan Dr NW, Grand Rapids, MI"
Admiral Petroleum,"346 Fulton St W, Grand Rapids, MI"
Four Star,"1045 Chicago Dr SW, Wyoming, MI"
Amoco,"2035 Lake Michigan Dr NW, Grand Rapids, MI"
Admiral Petroleum,"2366 Alpine Ave NW, Grand Rapids, MI"
Meijer,"5500 Clyde Park Ave SW, Wyoming, MI"
Admiral Petroleum,"3221 S Division Ave, Wyoming, MI"
Shell,"747 Leonard St NW, Grand Rapids, MI"
BP,"801 Franklin St SE, Grand Rapids, MI"
Amoco,"1 Hall St SW, Grand Rapids, MI"
BP,"2763 Madison Ave SE, Grand Rapids, MI"
Mobil Mart,"1229 Walker Ave NW, Grand Rapids, MI"
Citgo,"5450 Northland Dr NE, Grand Rapids, MI"
