id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4201201517154,2015-17154,6/20/2015 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,16XX BOWEN RD,20551,Northfield,5,49.178122,-123.973326
420120158918,2015-8918,4/6/2015 9:55:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,16XX BOWEN RD,20551,Northfield,5,49.178122,-123.973326
4201201513472,2015-13472,5/21/2015 4:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX EAST WELLINGTON RD,20736,Northfield,5,49.179954,-123.984312
420120158911,2015-8911,4/6/2015 8:11:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX EAST WELLINGTON RD,20736,Northfield,5,49.179954,-123.984312
4201201518285,2015-18285,6/29/2015 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX 10TH ST,20785,Harewood,10,49.133471,-123.926661
4201201512231,2015-12231,5/9/2015 7:45:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX 10TH ST,20785,Harewood,10,49.133471,-123.926661
4201201511123,2015-11123,4/28/2015 12:12:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX 10TH ST,20785,Harewood,10,49.133471,-123.926661
420120159606,2015-9606,4/13/2015 12:57:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,1XX NICOL ST,20971,South End,6,49.158916,-123.934058
4201201513895,2015-13895,5/25/2015 6:56:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,23XX BOWEN RD,21285,Diver Lake,13,49.195553,-123.994984
4201201513366,2015-13366,5/19/2015 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,2XX EATON ST,21675,South End,6,49.149405,-123.930677
420120158307,2015-8307,3/31/2015 10:33:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WAKESIAH AVE,22393,University District,19,49.159922,-123.961118
4201201511143,2015-11143,4/28/2015 3:34:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,44XX WELLINGTON RD,22525,Diver Lake,13,49.207307,-124.022783
420120155997,2015-5997,2/26/2015 5:18:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,47XX UPLANDS DR,22573,Rutherford,12,49.22198,-124.030492
420120158315,2015-8315,3/31/2015 9:37:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,5XX TOWNSITE RD,23432,Townsite,17,49.177008,-123.954217
4201201518025,2015-18025,6/28/2015 6:59:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX HECATE ST,24282,Downtown,2,49.15678,-123.939805
4201201515589,2015-15589,6/9/2015 3:40:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX OLD VICTORIA RD,24306,Chase River,8,49.140136,-123.928921
4201201511391,2015-11391,5/1/2015 5:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX FRONT ST,25559,Downtown,2,49.169009,-123.937177
4201201515375,2015-15375,6/7/2015 9:37:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX NICOL ST,25605,South End,6,49.16247,-123.934231
4201201514752,2015-14752,6/1/2015 4:40:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX GEORGIA AVE,25853,Harewood,10,49.154188,-123.952451
4201201517202,2015-17202,6/20/2015 5:30:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,41XX MOSTAR RD,26531,Diver Lake,13,49.209694,-124.035163
4201201513235,2015-13235,5/19/2015 9:00:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,41XX MOSTAR RD,26531,Diver Lake,13,49.209694,-124.035163
4201201513899,2015-13899,5/25/2015 6:10:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,25XX MCCULLOUGH RD,26632,Northfield,5,49.196917,-123.982662
4201201514801,2015-14801,6/2/2015 5:10:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX 5TH ST,26668,Westwood,18,49.154348,-123.971329
4201201514003,2015-14003,5/26/2015 8:06:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX 5TH ST,26668,Westwood,18,49.154348,-123.971329
4201201513996,2015-13996,5/26/2015 3:16:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX 5TH ST,26668,Westwood,18,49.154348,-123.971329
420120157163,2015-7163,3/18/2015 10:19:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,9XX 5TH ST,26668,Westwood,18,49.154348,-123.971329
420120158689,2015-8689,4/3/2015 2:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,7XX NICOL ST,26716,South End,6,49.150538,-123.93375
4201201514330,2015-14330,5/29/2015 6:18:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,5XX BOWEN RD,26752,University District,19,49.170985,-123.952636
4201201512546,2015-12546,5/11/2015 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,5XX BOWEN RD,26752,University District,19,49.170985,-123.952636
4201201513909,2015-13909,5/25/2015 9:41:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESTWOOD RD,26789,Westwood,18,49.163841,-123.996683
